标题,价格,户型,面积,朝向,楼层,装修,种类,位置,标签,概况,设施,链接,行政区,price,tj1
深圳租房鑶号线茶光站 精装复式家电齐全 温馨舒适 拎包入住,950,1室0厅1卫,100平方米,东南,中层(共6层),精装修,公寓,石鼓花园 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1600240844480527?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3mWbdnWwBnBYdPWu-sHw-n1DVmhEkmBYvuWnzujEdn1cOPhcKP1EvrH9OPTDKnHmknjcYnj9YPjE3njNzPkDkTHDknTDQsjDkTHEKnHmkn1E1PWTkrj93P9DQnkZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDzn9DKsHDKTHD1nHbdnHNkrjn3nHnOPH0vn1cKP97Jpy7ZuHCkg1cdnjTKnED1njwWPWIhPzYLPvR6sHEzrHbVrHRWmzdWnvDYnWFbujwBm1bKnHnQrHNQPHT3n1bzn1TkPHEYnTDQn1DOPHDdnj91rjmYnW9dnH9YTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknWcf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkDOujnLPjbYuaYvmymLsHwhP1EVmWTYmidWmHT3PH01rjmkPAEKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UTDvuAuhmvDzuhDYmHmYP1cQ&lego_tid=9d37494d-6af7-4f74-b04a-ca085738604d,南山,"(500.0, 1000.0]",True
西丽官龙村地铁口 特价单间出租 采光好 环境安静舒适,699,1室0厅1卫,14平方米,南北,中层(共8层),精装修,公寓,西丽官龙村 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1570156923200512?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYzm1D3uhw6uBYLPvDdsHw6PhDVryEznaY3nHbvrjmQm1n3Pj0KnHTQPH0dPHEvTEDQPH0knHNvrHc1nWTkPHDzTHTKnHTkTHD_nHTKPTDQPWT1PjnvnjNYnW9LTHNzTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHc1TEDVnEDKnHnQrHDvnHm3PWckPjDknjmkrTDvTyGGmNI-rWKxnWNknTDQTymvrHnknWcQsyDzPHcVPjEkuidBuHDYsynkPvDOrHu-uyDdu9DQn1DOnHmQPW9vn1TYP1m1rHTYTHD1nHbQPWDvrjmzn1nYPHmvPjTKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTznzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THDLmyubnWmYsHK6nHTVPj7BnBYOPj76sH7bmHTLnhEYrjI6PEDKPTDKTHnKPakQrjDQsjD3PjDKnE78IyQ_TH76m1cQrjN1mH0QPvFbPHT&lego_tid=17afd264-0a10-41b2-941a-1da072d487a5,南山,"(500.0, 1000.0]",True
寓单间出租一个月起租，家住私齐全，采光通风好拎包入住,600,1室0厅1卫,36平方米,南北,中层(共9层),精装修,公寓,南山村 (南山南山地铁口),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1704754721349636?isauction=6&shangquan_id=6108&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYzP1TOPAndnBd-nAuBsHELrHEVrH6WPidWnjKhuWb3rANvrjmKnWTknH91PHEkTEDQP1TYP1NYP1cQn1EOPWnvTHTKnHTkTHD_nHTKPTDQPWT1PjnvnHE1nWDdTHDkTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHcdTEDVnEDKnHnQrHNQP19vP1EvnjcLnWDzrEDvTyGGmNI-rWKxnWNknTDQTyEYnHuhuj9QsHF-nvmVPj0YPad6uh7hsymdryFBPvmvPW03uEDQn1DOPHDLrjmLPHNzPHEvrjDvTHD1nHbdnH03PW0YrjNYPjckPjbKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTzPit4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TyDYn101rHIbsH9dmymVPAEvPaY3nj0vsH0knyDLrADzP1R6rEDKPTDKTHnKPakQrjDQsjmQnj9KnE78IyQ_THPhnyDQmH9duHDLmWNYrj0&lego_tid=a437397d-85af-4d64-8076-701a78a275a9,南山,"(500.0, 1000.0]",True
西丽官龙村地铁口 特价单间出租 采光好 环境安静舒适,699,1室0厅1卫,14平方米,南北,中层(共8层),精装修,公寓,西丽官龙村 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1570156923200512?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYzP1TOPAndnBd-nAuBsHELrHEVrH6WPidWnjKhuWb3rANvrjmKnHTQPH0dPHEvTEDQPH0knHNvrHc1nWTkPHDzTHTKnHTkTHD_nHTKPTDQPWT1PjnvnHE1nWDdTHD1TXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHcdTEDVnEDKnHnQrHDvnHm3PWckPjDknjmkrTDvTyGGmNI-rWKxnWNknTDQTyN3uHbQmvN1syEQPyNVPj9LPaY3PhEQsyn1mhn3mhw-nHbku9DQn1DOnHmQPW9vn1TYP1m1rHTYTHD1nHbQPWDvrjmzn1nYPHmvPjTKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTzPit4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TyN3rH9OPHD1sHTQnW0VPjFBPBY3uyN3sHRWnhuWPADzPhnLrEDKPTDKTHnKPakQrjDQsjD3PjDKnE78IyQ_THN1nvmvuW9dryEYPjbvPjb&lego_tid=e8989513-0127-42b6-8ee8-5c2fc4a26c79,南山,"(500.0, 1000.0]",True
驋号线固戍直达南山单间齤麣麣起  拎包入住,1000,1室0厅1卫,12平方米,朝南,低层(共12层),精装修,公寓,深南花园 (南山科技园),True,True,"冰箱,洗衣机,热水器,宽带,油烟机,燃气灶,可做饭,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1694985499993092?isauction=6&shangquan_id=2683&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYzP1TOPAndnBd-nAuBsHELrHEVrH6WPidWnjKhuWb3rANvrjmKnHTkrHnvnWDYTEDQPWbYrH9dPjbOrHb1njbzTHTKnHTkTHD_nHTKPTDQPWT1PjnvnHE1nWDdTHDvTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHcdTEDVnEDKnHnQrj9dnjNkPWNzPj0zrHnYPTDvTyGGmNI-rWKxnWNknTDQTH7huhNYnHRBsHNvuhnVPAF6uad6uW91syFWnjm3PjFBnvNkPTDQn1D3rjNkPHTvPWTknWnkrHDzTHD1nH93PHTdnjmdPWcYP19krjTKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTzPit4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TynLuAFWPyDzsymYPjcVPjmOradBrj0OsH6-nyNYmyELPHbQnTDKPTDKTHnKPakQrjDQsjcvrjnKnE78IyQ_THFbn1IWrjN3PyubnWcLuWE&lego_tid=c7dbc5a2-f442-4698-b879-8e1e4ad75910,南山,"(500.0, 1000.0]",True
南山区 近大新地铁站 精装采光好龤中介 家具齐全 可拎包入住,1200,1室0厅1卫,12平方米,朝南,中层(共8层),精装修,普通住宅,一甲海边新村 (南山南头),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1605965310336003?isauction=6&shangquan_id=1834&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYzP1TOPAndnBd-nAuBsHELrHEVrH6WPidWnjKhuWb3rANvrjmKnWTknHckrj0OTEDQPWTdrHmdn1Dkn1nvnjT1THTKnHTkTHD_nHTKPTDQPWT1PjnvnHE1nWDdTHczTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHcdTEDVnEDKnHnQrHDvn1N1PjTdPHTdPHnvnTDvTyGGmNI-rWKxnWNknTDQTH9QnjTkPvnzsym3mWnVPAFBPBY3ryFhsyR6uj9LuW9knvwWmkDQn1DOnHm1PHnYnWNznHbQP1EYTHD1nHbQPWndn1EQrH0vPWNLrHcKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTzPit4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THN1nW03nvc3sHP6Pj0VPAcdraYOuhDksyR-PWnQuhNOuH0knkDKPTDKTHnKPakQrjDQsjD3n1EKnE78IyQ_TywBPWIhryn3P19vnvRWP10&lego_tid=532783b8-3a47-4b58-9fa0-ee631fe9e703,南山,"(1000.0, 1500.0]",True
桃园地铁口 南山医院旁 单间独卫采光好 直租 拎包入住,1300,1室0厅1卫,13平方米,朝南,低层(共18层),精装修,普通住宅,常丰花园 (南山南头),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1607303606853646?isauction=6&shangquan_id=1834&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYzP1TOPAndnBd-nAuBsHELrHEVrH6WPidWnjKhuWb3rANvrjmKP1c3nHD3nEDKnHmkP1nkn1mkPW9dn1mYP9DkTHDknTDQsjDkTHEKnHmkn1E1PWDYn1cQP9DzPkZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDzPEDKsHDKTHD1nHbQrjEQPHEvrHcQPWbLnW9KP97Jpy7ZuHCkg1cdnjTKnE7bnHNLP1E3PaYQuHDksHw6PHcVrHwbradBmWcLnhRBrjRBuyNKnHnQrHD3PjDdPj03rjm1rj0znTDQn1DOnH9YnHNYP1nYnHDzP1m3TEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknWNf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznk7WnjnYujFBmzYOnAEYsHE1nhmVmyEYmBYLrjuBryNzmhnOmyDKTHEKTED1THE_nH9QnikQrjnYTHDKUMR_UTDOmWRBmyEvmWPBnW0QuWPW&lego_tid=c034d2bc-90d4-432f-ad4b-786b9e2bc9aa,南山,"(1000.0, 1500.0]",True
公寓单间出租一个月起租，家住私齐全，采光通风好拎包入住自建房,600,1室0厅1卫,36平方米,南北,低层(共9层),精装修,公寓,前海湾花园(四期) (南山前海),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1704754407988238?isauction=6&shangquan_id=2685&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYzP1TOPAndnBd-nAuBsHELrHEVrH6WPidWnjKhuWb3rANvrjmKnWTknH91PHEkTEDQP1TYP1NYPjTLrH93nWn3THTKnHTkTHD_nHTKPTDQPWT1PjnvnHE1nWDLTHNzTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHcdTEDVnEDKnHnQrHNQrjD1njbvn1c1nj0znEDvTyGGmNI-rWKxnWNknTDQTymYPWNLn1DvsHwBPAnVPjbzuBdBmHmzsHnzP1bQnjELn193uTDQn1DOPHD3nHnQnjNOPWbOP1DzTHD1nHbdnH9Qn1DknWDOPjm3rjTKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTzPit4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1Tym1n1EOrymdsH-hnycVPjc1nBd6PWFbsHRWuyEdP1c3mhw6nEDKPTDKTHnKPakQrjDQsjcvrjNKnE78IyQ_THcvrH03mynOujRBmvDzuAm&lego_tid=f33499f5-9f1b-4232-a62d-5ced5728bda1,南山,"(500.0, 1000.0]",True
公寓单间出租一个月起租，家住私齐全，采光通风好拎包入住自建房,600,1室0厅1卫,36平方米,南北,低层(共9层),精装修,公寓,前海湾花园(四期) (南山前海),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1704754407988238?isauction=6&shangquan_id=2685&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYdmWn3njE1uBY1nymLsHw6myEVmyDvPBYduyF-rymYPjnvmWmKnWTknH91PHEkTEDQP1TYP1NYPjTLrH93nWn3THTKnHTkTHD_nHTKPTDQPWT1PjnvnH9LP1czTHmKOplFOUA7OplBOev8lpAvsRKjOlXxOCB4OlvUlmaFOmBgl2AClpAdTHDKnWmKTiYQTEDQn1DOPHD3nHnkrHm1nWnkP1cQTHmKph-6wvNln7tzPHTkTHDKnW6WrH0krymVPjT3PaYYuW76sH9dnWnVPjbOuH01m1-bmWPBTHD1nHbdnH9Qn1DkPHbvrHbLnHcKnHnQrHNQrjD1nHTznHbYPW93nTDKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jcvs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjNYTHDknjc1nWnKmHcdmWn3uWDVuHDdmzYYrHTzsH91myEVPvwbrjIbnHTLnjNQTEDYTEDKnkDYsjD3nHD_nWm3PEDQTyOdUAkKrAcLuhEYnymYP1KBm1ELmE&lego_tid=a25b38f1-e15c-4902-83ad-7dd87d107051,南山,"(500.0, 1000.0]",True
大学城地铁站 迷你复试 可押一付一,1000,1室0厅1卫,15平方米,朝南,中层(共8层),精装修,公寓,集悦城红花岭 (南山西丽),True,True,"洗衣机,热水器,宽带,空调,衣柜,床,卫生间,智能门锁,",https://sz.zu.anjuke.com/fangyuan/1395008975003662?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYdmWn3njE1uBY1nymLsHw6myEVmyDvPBYduyF-rymYPjnvmWmKPHnknWn3n9DKnHnOPHTkrjbLPHTkn1mvn9DkTHDknTDQsjDkTHEKnHmkn1E1PWD3P10znkDQPTZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDzP9DKsHDKTHD1nHbQrj03PWNznjEQP1E3Pj9KP97Jpy7ZuHCkg1cdnjTKnED1nHwWuH6-PBdbmH-BsHwhnH9VrjnkniYYmH7BP1uhmWKBrHDKnHnQrHD3P19vPHnknjm1rH0YPTDQn1DOnH9LrjmdnWEvnHD1P1bzTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknWmf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznk7WmWTkmWT3PBYLnjNQsHwbnjEVmH9kradWmyDzmvwhnyRbuyNKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UT7WuWuWnvwhnvmvrHmkrHn3&lego_tid=cb00b086-7051-4d04-a808-caa2cdf1edee,南山,"(500.0, 1000.0]",True
桃园地铁口 南山医院旁 单间独卫采光好 直租 拎包入住,1300,1室0厅1卫,13平方米,朝南,低层(共18层),精装修,普通住宅,常丰花园 (南山南头),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1607303606853646?isauction=6&shangquan_id=1834&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1mzPhnOuaYzuymksHEYuhmVmhwBnadWuyPbryDkuyNYmWEKP1c3nHD3nEDKnHmkP1nkn1mkPW9dn1mYP9DkTHDknTDQsjDkTHEKnHmkn1E1PWc1nWcznkDzTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHcLTEDVnEDKnHnQrHD3PjDdPjmOnWDvrH0zrTDvTyGGmNI-rWKxnWNknTDQTHbdmWE1uhmYsy7buWEVPjmvmiYOPjFbsHTOnHbzrARbuhP6u9DQn1DOnH9YnHNYP193PWn3P1ckTHD1nHbQrjEQPHELn1EQnHcLPW9KTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTzPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THmLrHF-PAnQsH0vmvEVPAR-uidBmWndsHIBujNYmv7hmHmkPkDKPTDKTHnKPakQrjDQsjD3n1EKnE78IyQ_TH9km1ELPymduWKWujwbnHc&lego_tid=6792e4c1-76cd-4eee-bb35-7bd54cafa607,南山,"(1000.0, 1500.0]",True
大学城限时特价迷你复式 Mini Loft 应届生押一付一,1000,1室1厅1卫,12平方米,朝南,中层(共9层),精装修,公寓,大学城创客小镇 (南山大学城),True,True,"冰箱,洗衣机,热水器,宽带,沙发,空调,衣柜,床,卫生间,智能门锁,",https://sz.zu.anjuke.com/fangyuan/1700304037094407?isauction=6&shangquan_id=32363&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1mzPhnOuaYzuymksHEYuhmVmhwBnadWuyPbryDkuyNYmWEKnWTknHEdrH0QTEDQP1Tkn1TYnjnLnjbYPjTLTHTKnHTkTHD_nHTKPTDQPWT1PjnvnWnznWc1THDvTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHcLTEDVnEDKnHnQrHDLnHEkPWNdn1bYrjDvnTDvTyGGmNI-rWKxnWNknTDQTyFWuWcOPj9YsHNLnHbVPjPhnidBnjbdsyEdm1R-nW9YuHP6PTDQn1DOnH0QPjTvrjTQPjDznjbvTHD1nHbQP1DYnjmLn19dnjDvn1cKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTzPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TycLPhRhPjRbsHcLPH9VPjTLridBnvDksHEdmHcOmhPbPhubmEDKPTDKTHnKPakQrjDQsjnzn1m1THDKUMR_UT7hnW0OPyP-P1bYrAczPj7W&lego_tid=b76ef45d-2758-4079-b3a0-45a29bcd6fda,南山,"(500.0, 1000.0]",True
深圳南山低价床位鑶餼龤一个月，随时入住还在等什么,650,5室1厅3卫,18平方米,东南,中层(共32层),精装修,普通住宅,向南瑞峰花园 (南山南山中心区),True,True,"电视,空调,衣柜,床,卫生间,智能门锁,阳台,冰箱,洗衣机,热水器,宽带,沙发,",https://sz.zu.anjuke.com/fangyuan/1704619371077643?isauction=6&shangquan_id=11994&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadbrHIbPjuWPzd6m1FWsHEzuhEVrHFbmzdWuymOmyNQmH--m19KnHTknWEdn1T3TEDQP1TYPWDOn10Qnj0LPWE1THTKnHTkTHD_nHTKPTDQPWT1PjnvnW0LnWc3THNOTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHc3TEDVnEDKnHnQrHEOn1cQP1TLrjE3PjbOn9DvTyGGmNI-rWKxnWNknTDQTHczujDzn1KBsyD3uAEVPjE3PzYOm10ksycOn10vm10vrjE3nTDQn1DOPjb1nWDLnH0OnHE3nW93THD1nHbYrHnznH0QnWTYnW9kn1cKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTzrat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQn97exEDQnjTdPTDQnjTzn1c1Ty76m1DLnhFhsHTvPWNVPjDvnaYOnHczsyR-nj93PARhujF6PEDKPTDKTHnKPakQrjDQsjDQrHbYTHDKUMR_UTD3uhmLPjFBnj9YPjTdP1IW&lego_tid=aac172bf-0665-4160-9122-ee0884efd2a5,南山,"(500.0, 1000.0]",True
房东急租 精装修 家私家电齐全 近地铁 独卫大阳台 拎包入住,800,1室0厅1卫,14平方米,南北,中层(共12层),精装修,公寓,固戍红湾新村 (宝安西乡),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1615726297947141?isauction=6&shangquan_id=6151&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadbPWTLPWnYuBdhujRWsHEdrj0VrHP6uaYOP1mvuHTzrj7WnAcKnWTknHE3P1bQTEDQPWDdP1cvnWbLrHELnHEQTHTKnHTkTHD_nHTKPTDQPWT1PjnvPjDQPWNdTHn3TXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHnQTEDVnEDKnHnQrHEvrj9knWT1nj0Qnj03PEDvTyGGmNI-rWKxnWNknTDQTHT1uhNdnhDksymvnWNVPjbQnzd6PvDksHEdmWRhujEvuADYP9DQn1DOPjm3rjTznWDdnWNvnjmYTHD1nHbYPW93njcQPWTLn1TQnHcKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLT1nit4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TyFWrjEYP1T3sH7hn1cVPjmYPidBnHT1sH93nymLmvmzmWR6rEDKPTDKTHnKPakQrjDzsjmQPHDKnE78IyQ_THF-ryEQuhw-mhnLmynkuyE&lego_tid=bc844708-1f32-4645-b103-881f7cf2b5a9,宝安,"(500.0, 1000.0]",True
固戍地铁閏龤龤米 精装公寓 采光 独立阳台厨卫 可短租一个月,880,1室0厅1卫,20平方米,南北,共5层,精装修,公寓,南昌第二新村 (宝安固戍),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1703506943713285?isauction=6&shangquan_id=33272&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYzPyD1uh7-PiYQuHRhsHwBPW9VmhDLmzd6PAmOuWI6m19dmymKnHTQn1nkPHT3TEDQP1T1PHTvrHE1P1D1nW9dTHTKnHTkTHD_nHTKPTDQPWT1PjnvPjNdPjcYTHcdTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHnzTEDVnEDKnHnQrHEOrH93PHEkPHc3PWEknTDvTyGGmNI-rWKxnWNknTDQTynkmvRbPhNLsH6WrAnVPjmdnadBuAw6sH9LPH9zPAF-PhEdrEDQn1DOPjbOrj9dPHD3PHnzPWT3THD1nHbYrHb3rjNYPHDYnHbvPj9KTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLT1nBt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TyNduj-6ujDzsyubPj0VPAwWuid6uHwbsHDkPj91PHEkmH6BnkDKPTDKTHnKPakQrjDzsjn1nW0zTHDKUMR_UTDvn1TQnWFhmHwBPH6hryck&lego_tid=e5d9ad12-fd47-4dce-ae4d-10483540a8b3,宝安,"(500.0, 1000.0]",True
